Month,Sales,Account,business_unit,Currency,Year,Scenario
May,-1331847,Commissions Expense,Hardware,USD,2012,Actuals
Nov,-751229,Commissions Expense,Hardware,USD,2012,Actuals
Oct,-1378721,Commissions Expense,Hardware,USD,2012,Actuals
Sep,-1338743,Commissions Expense,Hardware,USD,2012,Actuals
Apr,-900105,Commissions Expense,Hardware,USD,2012,Actuals
Aug,-1612959,Commissions Expense,Hardware,USD,2012,Actuals
Dec,-3638336,Payroll Expense,Hardware,USD,2012,Actuals
Feb,-3423587,Payroll Expense,Hardware,USD,2012,Actuals
Jan,-3625840,Payroll Expense,Hardware,USD,2012,Actuals
Jul,-2644538,Payroll Expense,Hardware,USD,2012,Actuals
Jun,-4252053,Payroll Expense,Hardware,USD,2012,Actuals
Mar,-2865530,Payroll Expense,Hardware,USD,2012,Actuals
May,-3605303,Payroll Expense,Hardware,USD,2012,Actuals
Nov,-2018487,Payroll Expense,Hardware,USD,2012,Actuals
Oct,-3479104,Payroll Expense,Hardware,USD,2012,Actuals
Sep,-3376769,Payroll Expense,Hardware,USD,2012,Actuals
Apr,-2430054,Payroll Expense,Hardware,USD,2012,Actuals
Aug,-4099242,Payroll Expense,Hardware,USD,2012,Actuals
Dec,-374266,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Feb,-338689,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Jan,-404102,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Jul,-253582,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Jun,-401363,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Mar,-289410,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
May,-322868,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Nov,-171970,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Oct,-391065,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Sep,-347606,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Apr,-231627,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Aug,-412988,Travel & Entertainment Expense,Hardware,USD,2012,Actuals
Dec,-1391966,R&D Expense,Hardware,USD,2012,Actuals
Feb,-1483124,R&D Expense,Hardware,USD,2012,Actuals
Jan,-1468035,R&D Expense,Hardware,USD,2012,Actuals
Jul,-1152053,R&D Expense,Hardware,USD,2012,Actuals
Jun,-1598284,R&D Expense,Hardware,USD,2012,Actuals
Mar,-1094520,R&D Expense,Hardware,USD,2012,Actuals
May,-1284439,R&D Expense,Hardware,USD,2012,Actuals
Nov,-816086,R&D Expense,Hardware,USD,2012,Actuals
Oct,-1277358,R&D Expense,Hardware,USD,2012,Actuals
Sep,-1197635,R&D Expense,Hardware,USD,2012,Actuals
Apr,-937432,R&D Expense,Hardware,USD,2012,Actuals
Aug,-1525329,R&D Expense,Hardware,USD,2012,Actuals
Dec,-1651075,Consulting Expense,Hardware,USD,2012,Actuals
Feb,-1664382,Consulting Expense,Hardware,USD,2012,Actuals
Jan,-1854144,Consulting Expense,Hardware,USD,2012,Actuals
Jul,-1472986,Consulting Expense,Hardware,USD,2012,Actuals
Jun,-2017618,Consulting Expense,Hardware,USD,2012,Actuals
Mar,-1580339,Consulting Expense,Hardware,USD,2012,Actuals
May,-1625464,Consulting Expense,Hardware,USD,2012,Actuals
Nov,-917113,Consulting Expense,Hardware,USD,2012,Actuals
Oct,-1608184,Consulting Expense,Hardware,USD,2012,Actuals
Sep,-1767868,Consulting Expense,Hardware,USD,2012,Actuals
Apr,-1211392,Consulting Expense,Hardware,USD,2012,Actuals
Aug,-2012637,Consulting Expense,Hardware,USD,2012,Actuals
Dec,-2275474,Software/Hardware Expense,Hardware,USD,2012,Actuals
Feb,-2246414,Software/Hardware Expense,Hardware,USD,2012,Actuals
Jan,-2454740,Software/Hardware Expense,Hardware,USD,2012,Actuals
Jul,-1781975,Software/Hardware Expense,Hardware,USD,2012,Actuals
Jun,-2690767,Software/Hardware Expense,Hardware,USD,2012,Actuals
Mar,-1920131,Software/Hardware Expense,Hardware,USD,2012,Actuals
May,-2459096,Software/Hardware Expense,Hardware,USD,2012,Actuals
Nov,-1334326,Software/Hardware Expense,Hardware,USD,2012,Actuals
Oct,-2418669,Software/Hardware Expense,Hardware,USD,2012,Actuals
Sep,-2077955,Software/Hardware Expense,Hardware,USD,2012,Actuals
Apr,-1538618,Software/Hardware Expense,Hardware,USD,2012,Actuals
Aug,-2592510,Software/Hardware Expense,Hardware,USD,2012,Actuals
Dec,-689907,Marketing Expense,Hardware,USD,2012,Actuals
Feb,-741500,Marketing Expense,Hardware,USD,2012,Actuals
Jan,-713163,Marketing Expense,Hardware,USD,2012,Actuals
Jul,-538307,Marketing Expense,Hardware,USD,2012,Actuals
Jun,-906407,Marketing Expense,Hardware,USD,2012,Actuals
Mar,-638160,Marketing Expense,Hardware,USD,2012,Actuals
May,-641726,Marketing Expense,Hardware,USD,2012,Actuals
Nov,-424464,Marketing Expense,Hardware,USD,2012,Actuals
Oct,-774552,Marketing Expense,Hardware,USD,2012,Actuals
Sep,-631951,Marketing Expense,Hardware,USD,2012,Actuals
Apr,-461044,Marketing Expense,Hardware,USD,2012,Actuals
Aug,-792272,Marketing Expense,Hardware,USD,2012,Actuals
Dec,53288399,Sales,Software,USD,2013,Actuals
Feb,53925189,Sales,Software,USD,2013,Actuals
Jan,62935397,Sales,Software,USD,2013,Actuals
Jul,81928853,Sales,Software,USD,2013,Actuals
Jun,56531656,Sales,Software,USD,2013,Actuals
Mar,89800765,Sales,Software,USD,2013,Actuals
May,88898687,Sales,Software,USD,2013,Actuals
Nov,85024906,Sales,Software,USD,2013,Actuals
Oct,84696571,Sales,Software,USD,2013,Actuals
Sep,90835513,Sales,Software,USD,2013,Actuals
Apr,73182364,Sales,Software,USD,2013,Actuals
Aug,83883692,Sales,Software,USD,2013,Actuals
Dec,-21932570,Cost of Goods Sold,Software,USD,2013,Actuals
Feb,-22903069,Cost of Goods Sold,Software,USD,2013,Actuals
Jan,-26494815,Cost of Goods Sold,Software,USD,2013,Actuals
Jul,-33775125,Cost of Goods Sold,Software,USD,2013,Actuals
Jun,-27409059,Cost of Goods Sold,Software,USD,2013,Actuals
Mar,-40456195,Cost of Goods Sold,Software,USD,2013,Actuals
May,-42423953,Cost of Goods Sold,Software,USD,2013,Actuals
Nov,-36978094,Cost of Goods Sold,Software,USD,2013,Actuals
Oct,-39247829,Cost of Goods Sold,Software,USD,2013,Actuals
Sep,-41042906,Cost of Goods Sold,Software,USD,2013,Actuals
Apr,-34006729,Cost of Goods Sold,Software,USD,2013,Actuals
Aug,-36687036,Cost of Goods Sold,Software,USD,2013,Actuals
Dec,-2193320,Commissions Expense,Software,USD,2013,Actuals
Feb,-2292513,Commissions Expense,Software,USD,2013,Actuals
Jan,-2701354,Commissions Expense,Software,USD,2013,Actuals
Jul,-3831128,Commissions Expense,Software,USD,2013,Actuals
Jun,-2276949,Commissions Expense,Software,USD,2013,Actuals
Mar,-4003886,Commissions Expense,Software,USD,2013,Actuals
May,-3751958,Commissions Expense,Software,USD,2013,Actuals
Nov,-3875350,Commissions Expense,Software,USD,2013,Actuals
Oct,-3646419,Commissions Expense,Software,USD,2013,Actuals
Sep,-3723927,Commissions Expense,Software,USD,2013,Actuals
Apr,-3480213,Commissions Expense,Software,USD,2013,Actuals
Aug,-4053567,Commissions Expense,Software,USD,2013,Actuals
Dec,-6025217,Payroll Expense,Software,USD,2013,Actuals
Feb,-6040881,Payroll Expense,Software,USD,2013,Actuals
Jan,-6903529,Payroll Expense,Software,USD,2013,Actuals
Jul,-9729627,Payroll Expense,Software,USD,2013,Actuals
Jun,-7009597,Payroll Expense,Software,USD,2013,Actuals
Mar,-8999879,Payroll Expense,Software,USD,2013,Actuals
May,-10315340,Payroll Expense,Software,USD,2013,Actuals
Nov,-10104336,Payroll Expense,Software,USD,2013,Actuals
Oct,-9764483,Payroll Expense,Software,USD,2013,Actuals
Sep,-9421268,Payroll Expense,Software,USD,2013,Actuals
Apr,-8859167,Payroll Expense,Software,USD,2013,Actuals
Aug,-9388096,Payroll Expense,Software,USD,2013,Actuals
Dec,-622578,Travel & Entertainment Expense,Software,USD,2013,Actuals
Feb,-668336,Travel & Entertainment Expense,Software,USD,2013,Actuals
Jan,-742125,Travel & Entertainment Expense,Software,USD,2013,Actuals
Jul,-914148,Travel & Entertainment Expense,Software,USD,2013,Actuals
Jun,-574730,Travel & Entertainment Expense,Software,USD,2013,Actuals
Mar,-1090282,Travel & Entertainment Expense,Software,USD,2013,Actuals
May,-1061114,Travel & Entertainment Expense,Software,USD,2013,Actuals
Nov,-891952,Travel & Entertainment Expense,Software,USD,2013,Actuals
Oct,-991515,Travel & Entertainment Expense,Software,USD,2013,Actuals
Sep,-1118700,Travel & Entertainment Expense,Software,USD,2013,Actuals
Apr,-779994,Travel & Entertainment Expense,Software,USD,2013,Actuals
Aug,-937664,Travel & Entertainment Expense,Software,USD,2013,Actuals
Dec,-2301656,R&D Expense,Software,USD,2013,Actuals
Feb,-2247412,R&D Expense,Software,USD,2013,Actuals
Jan,-3004974,R&D Expense,Software,USD,2013,Actuals
Jul,-3732122,R&D Expense,Software,USD,2013,Actuals
Jun,-2691195,R&D Expense,Software,USD,2013,Actuals
Mar,-4038201,R&D Expense,Software,USD,2013,Actuals
May,-3781884,R&D Expense,Software,USD,2013,Actuals
Nov,-3939592,R&D Expense,Software,USD,2013,Actuals
Oct,-3631690,R&D Expense,Software,USD,2013,Actuals
Sep,-3769268,R&D Expense,Software,USD,2013,Actuals
Apr,-3194257,R&D Expense,Software,USD,2013,Actuals
Aug,-3946945,R&D Expense,Software,USD,2013,Actuals
Dec,-2916323,Consulting Expense,Software,USD,2013,Actuals
Feb,-3045416,Consulting Expense,Software,USD,2013,Actuals
Jan,-3635465,Consulting Expense,Software,USD,2013,Actuals
Jul,-5056752,Consulting Expense,Software,USD,2013,Actuals
Jun,-3428760,Consulting Expense,Software,USD,2013,Actuals
Mar,-4995746,Consulting Expense,Software,USD,2013,Actuals
May,-4835074,Consulting Expense,Software,USD,2013,Actuals
Nov,-4679973,Consulting Expense,Software,USD,2013,Actuals
Oct,-5103815,Consulting Expense,Software,USD,2013,Actuals
Sep,-5233669,Consulting Expense,Software,USD,2013,Actuals
Apr,-4388934,Consulting Expense,Software,USD,2013,Actuals
Aug,-4859658,Consulting Expense,Software,USD,2013,Actuals
Dec,-4278920,Software/Hardware Expense,Software,USD,2013,Actuals
Feb,-4126173,Software/Hardware Expense,Software,USD,2013,Actuals
Jan,-4463301,Software/Hardware Expense,Software,USD,2013,Actuals
Jul,-6296385,Software/Hardware Expense,Software,USD,2013,Actuals
Jun,-4230019,Software/Hardware Expense,Software,USD,2013,Actuals
Mar,-7142092,Software/Hardware Expense,Software,USD,2013,Actuals
May,-7122613,Software/Hardware Expense,Software,USD,2013,Actuals
Nov,-6504510,Software/Hardware Expense,Software,USD,2013,Actuals
Oct,-6983409,Software/Hardware Expense,Software,USD,2013,Actuals
Sep,-7603663,Software/Hardware Expense,Software,USD,2013,Actuals
Apr,-5237047,Software/Hardware Expense,Software,USD,2013,Actuals
Aug,-6393165,Software/Hardware Expense,Software,USD,2013,Actuals
Dec,-1094887,Marketing Expense,Software,USD,2013,Actuals
Feb,-1226506,Marketing Expense,Software,USD,2013,Actuals
Jan,-1338399,Marketing Expense,Software,USD,2013,Actuals
Jul,-1971506,Marketing Expense,Software,USD,2013,Actuals
Jun,-1153027,Marketing Expense,Software,USD,2013,Actuals
Mar,-1878316,Marketing Expense,Software,USD,2013,Actuals
May,-1813241,Marketing Expense,Software,USD,2013,Actuals
Nov,-1901804,Marketing Expense,Software,USD,2013,Actuals
Oct,-1784085,Marketing Expense,Software,USD,2013,Actuals
Sep,-2234011,Marketing Expense,Software,USD,2013,Actuals
Apr,-1692980,Marketing Expense,Software,USD,2013,Actuals
